Mon May 10 1999,Miami Heat,New York Knicks,83,73,Miami Arena,15200,/boxscores/199905100MIA.html
Mon May 10 1999,Portland Trail Blazers,Phoenix Suns,110,99,Rose Garden Arena,20588,/boxscores/199905100POR.html
Mon May 10 1999,Utah Jazz,Sacramento Kings,90,101,Delta Center,19911,/boxscores/199905100UTA.html
Tue May 11 1999,Indiana Pacers,Milwaukee Bucks,108,107,Market Square Arena,16608,/boxscores/199905110IND.html
Tue May 11 1999,Los Angeles Lakers,Houston Rockets,110,98,Great Western Forum,17505,/boxscores/199905110LAL.html
Tue May 11 1999,Orlando Magic,Philadelphia 76ers,79,68,Orlando Arena,16345,/boxscores/199905110ORL.html
Tue May 11 1999,San Antonio Spurs,Minnesota Timberwolves,71,80,Alamodome,22494,/boxscores/199905110SAS.html
Wed May 12 1999,Sacramento Kings,Utah Jazz,84,81,ARCO Arena (II),17317,/boxscores/199905120SAC.html
Wed May 12 1999,Phoenix Suns,Portland Trail Blazers,93,103,America West Arena,17306,/boxscores/199905120PHO.html
Wed May 12 1999,New York Knicks,Miami Heat,97,73,Madison Square Garden (IV),19763,/boxscores/199905120NYK.html
Wed May 12 1999,Detroit Pistons,Atlanta Hawks,79,63,The Palace of Auburn Hills,14812,/boxscores/199905120DET.html
Thu May 13 1999,Houston Rockets,Los Angeles Lakers,102,88,Compaq Center,16285,/boxscores/199905130HOU.html
Thu May 13 1999,Milwaukee Bucks,Indiana Pacers,91,99,Bradley Center,18717,/boxscores/199905130MIL.html
Thu May 13 1999,Minnesota Timberwolves,San Antonio Spurs,71,85,Target Center,17444,/boxscores/199905130MIN.html
Thu May 13 1999,Philadelphia 76ers,Orlando Magic,97,85,First Union Center,20874,/boxscores/199905130PHI.html
Fri May 14 1999,Detroit Pistons,Atlanta Hawks,103,82,The Palace of Auburn Hills,16216,/boxscores/199905140DET.html
Fri May 14 1999,New York Knicks,Miami Heat,72,87,Madison Square Garden (IV),19763,/boxscores/199905140NYK.html
Fri May 14 1999,Sacramento Kings,Utah Jazz,89,90,ARCO Arena (II),17317,/boxscores/199905140SAC.html
Sat May 15 1999,Houston Rockets,Los Angeles Lakers,88,98,Compaq Center,16285,/boxscores/199905150HOU.html
Sat May 15 1999,Minnesota Timberwolves,San Antonio Spurs,85,92,Target Center,15898,/boxscores/199905150MIN.html
Sat May 15 1999,Philadelphia 76ers,Orlando Magic,101,91,First Union Center,20550,/boxscores/199905150PHI.html
Sun May 16 1999,Atlanta Hawks,Detroit Pistons,87,75,Alexander Memorial Coliseum at McDonald's Center,8460,/boxscores/199905160ATL.html
Sun May 16 1999,Utah Jazz,Sacramento Kings,99,92,Delta Center,19911,/boxscores/199905160UTA.html
Sun May 16 1999,Miami Heat,New York Knicks,77,78,Miami Arena,14985,/boxscores/199905160MIA.html
Mon May 17 1999,Indiana Pacers,Philadelphia 76ers,94,90,Market Square Arena,16723,/boxscores/199905170IND.html
Mon May 17 1999,San Antonio Spurs,Los Angeles Lakers,87,81,Alamodome,25297,/boxscores/199905170SAS.html
Tue May 18 1999,Atlanta Hawks,New York Knicks,92,100,Georgia Dome,18513,/boxscores/199905180ATL.html
Tue May 18 1999,Utah Jazz,Portland Trail Blazers,93,83,Delta Center,19911,/boxscores/199905180UTA.html
Wed May 19 1999,Indiana Pacers,Philadelphia 76ers,85,82,Market Square Arena,16795,/boxscores/199905190IND.html
Wed May 19 1999,San Antonio Spurs,Los Angeles Lakers,79,76,Alamodome,33293,/boxscores/199905190SAS.html
Thu May 20 1999,Atlanta Hawks,New York Knicks,70,77,Georgia Dome,22558,/boxscores/199905200ATL.html
Thu May 20 1999,Utah Jazz,Portland Trail Blazers,81,84,Delta Center,19911,/boxscores/199905200UTA.html
Fri May 21 1999,Philadelphia 76ers,Indiana Pacers,86,97,First Union Center,20930,/boxscores/199905210PHI.html
Sat May 22 1999,Portland Trail Blazers,Utah Jazz,97,87,Rose Garden Arena,20720,/boxscores/199905220POR.html
Sat May 22 1999,Los Angeles Lakers,San Antonio Spurs,91,103,Great Western Forum,17505,/boxscores/199905220LAL.html
Sun May 23 1999,Los Angeles Lakers,San Antonio Spurs,107,118,Great Western Forum,17505,/boxscores/199905230LAL.html
Sun May 23 1999,New York Knicks,Atlanta Hawks,90,78,Madison Square Garden (IV),19763,/boxscores/199905230NYK.html
Sun May 23 1999,Philadelphia 76ers,Indiana Pacers,86,89,First Union Center,20844,/boxscores/199905230PHI.html
Sun May 23 1999,Portland Trail Blazers,Utah Jazz,81,75,Rose Garden Arena,20720,/boxscores/199905230POR.html
Mon May 24 1999,New York Knicks,Atlanta Hawks,79,66,Madison Square Garden (IV),19763,/boxscores/199905240NYK.html
Tue May 25 1999,Utah Jazz,Portland Trail Blazers,88,71,Delta Center,19911,/boxscores/199905250UTA.html
Thu May 27 1999,Portland Trail Blazers,Utah Jazz,92,80,Rose Garden Arena,20727,/boxscores/199905270POR.html
Sat May 29 1999,San Antonio Spurs,Portland Trail Blazers,80,76,Alamodome,35165,/boxscores/199905290SAS.html
Sun May 30 1999,Indiana Pacers,New York Knicks,90,93,Market Square Arena,16575,/boxscores/199905300IND.html
Mon May 31 1999,San Antonio Spurs,Portland Trail Blazers,86,85,Alamodome,35260,/boxscores/199905310SAS.html
